total_distance,epsilon_required,num_pairs,src_len,trg_len
37,9,28,28,29
23,7,7,14,7
12,3,26,24,28
2,1,13,13,13
81,9,23,25,23
43,7,21,18,21
9,2,9,10,9
35,9,35,37,39
126,20,81,80,84
40,21,120,86,137
1564,80,39,99,45
53,4,37,39,38
65,12,35,34,35
86,8,29,33,31
45,11,51,56,57
58,10,41,44,47
7,5,13,11,13
62,5,38,42,40
16,2,42,42,43
58,8,19,23,20
66,10,18,28,20
104,7,29,36,31
10,7,11,11,11
29,7,21,23,21
203,14,63,69,64
0,0,15,14,15
40,5,20,22,20
5,2,26,24,27
1,1,29,28,31
116,26,50,51,52
69,18,17,27,18
10,9,20,13,20
3,1,23,22,23
32,10,31,27,34
70,10,13,20,13
108,10,28,33,28
5,2,7,9,7
30,4,21,24,23
79,22,26,29,26
30,4,20,24,20
42,7,14,19,14
42,10,28,25,30
79,10,29,31,29
121,12,16,28,16
2,2,38,33,42
64,16,26,33,27
13,4,21,22,21
0,0,21,15,21
24,4,27,27,27
222,9,64,69,66
2,1,23,22,26
38,6,37,40,37
242,18,26,40,28
78,23,22,46,23
31,5,22,21,22
81,15,19,30,23
40,11,21,26,25
21,10,42,30,53
21,7,26,23,27
0,0,5,5,5
13,5,15,17,15
97,14,21,26,21
0,0,15,13,15
115,9,29,38,29
2,1,7,7,7
0,0,16,13,16
24,5,14,16,14
18,6,22,18,22
35,5,28,31,28
0,0,7,6,7
22,7,28,27,29
32,7,27,28,27
21,4,49,47,51
0,0,28,19,28
77,10,16,23,16
20,16,20,21,21
14,5,12,13,12
126,11,31,40,34
43,6,23,29,25
4,1,11,10,11
46,10,27,31,29
8,1,10,11,10
51,14,25,33,29
357,16,35,52,39
6,2,6,7,6
0,0,5,5,5
6,2,9,9,9
3,1,11,10,11
11,3,6,9,6
14,3,8,11,8
2,1,4,5,4
14,3,31,32,34
8,2,10,11,10
87,14,56,54,60
22,4,25,27,26
79,10,53,54,56
402,43,72,86,82
21,6,12,14,12
172,17,32,42,34
68,7,19,23,19
91,16,18,29,21
23,10,37,35,38
22,4,7,11,7
8,5,46,45,49
7,3,9,12,11
8,2,6,8,6
0,0,7,7,7
0,0,7,7,7
21,13,33,29,33
40,8,16,19,16
10,3,11,11,11
0,0,9,8,9
3,1,10,9,10
34,16,50,48,55
10,10,19,18,23
40,9,22,22,23
0,0,11,11,11
148,12,36,46,38
8,2,11,12,11
2,2,3,5,3
0,0,8,6,8
0,0,4,5,4
2,2,12,12,12
357,21,53,61,57
309,15,50,60,52
398,44,67,71,70
590,40,79,82,85
14,12,9,22,10
5,3,57,48,59
501,21,58,79,60
22,9,31,30,32
19,6,24,21,25
10,3,18,19,18
26,5,40,41,42
294,21,37,54,40
5,2,6,7,6
142,9,37,44,37
151,21,55,64,60
30,3,16,19,16
47,5,24,27,24
29,6,34,37,39
36,4,15,18,15
357,20,54,69,55
8,3,21,18,21
243,17,32,47,33
43,6,17,22,17
6,3,36,28,39
25,4,20,21,21
38,6,13,18,13
30,4,17,21,17
0,0,12,12,12
157,11,33,41,36
30,4,20,22,21
8,2,12,14,12
25,5,17,17,18
15,4,22,23,24
2,1,13,13,13
490,27,56,79,67
116,9,21,27,21
89,7,22,26,23
246,29,29,50,34
41,6,20,26,21
155,12,51,59,53
9,8,46,42,46
347,24,71,84,76
96,8,52,52,52
135,10,30,38,33
11,5,30,27,31
42,5,25,29,25
37,5,15,17,15
252,35,65,71,69
7,4,18,16,18
30,8,31,32,32
140,13,28,34,30
187,12,45,53,47
53,10,47,49,52
279,15,59,66,61
435,26,69,80,74
102,13,39,47,44
9,3,11,11,11
277,19,32,51,34
131,16,20,31,20
195,16,25,36,25
40,5,22,25,22
368,39,70,80,72
163,10,27,37,27
11,5,36,26,37
109,6,32,39,35
27,10,20,19,20
3,2,11,11,11
27,7,23,23,23
90,7,42,44,42
39,6,27,29,27
113,18,27,31,29
46,12,15,20,15
18,3,9,11,9
14,3,12,14,12
34,5,29,27,29
61,11,13,20,13
17,5,18,16,18
295,11,50,59,52
34,4,16,17,16
48,6,29,31,29
164,18,28,39,30
37,5,17,17,17
1,1,15,13,15
136,16,18,30,19
27,3,39,41,40
13,5,22,22,22
104,13,36,42,38
59,6,37,39,37
57,7,21,19,21
0,0,21,17,21
97,13,21,23,22
209,15,43,57,45
213,11,49,55,54
79,14,43,42,43
2,1,15,14,15
10,2,19,18,19
0,0,21,19,21
8,2,18,14,18
206,17,31,40,31
21,6,13,16,13
1,1,35,33,37
0,0,13,9,13
141,15,22,31,22
9,5,13,13,13
92,10,19,26,19
10,2,9,10,9
6,3,15,16,15
119,16,21,35,25
46,6,28,30,29
48,7,16,21,16
203,16,27,38,28
135,21,36,43,38
75,9,38,42,41
11,4,11,11,11
81,10,24,35,26
5,2,9,11,9
69,8,26,32,26
14,3,27,27,28
94,11,36,40,40
76,6,29,32,30
22,6,25,29,26
25,8,30,30,32
125,8,32,40,34
81,10,36,44,39
16,3,7,10,7
8,3,17,17,17
45,4,28,30,30
30,7,18,20,18
134,23,17,29,17
58,6,42,44,46
9,2,21,22,21
6,1,14,13,14
220,11,35,43,35
58,11,30,34,30
42,7,38,36,38
18,7,21,23,23
19,5,9,13,9
32,6,42,43,42
77,16,14,22,14
0,0,7,4,7
5,2,33,31,33
8,4,15,15,15
38,4,27,29,28
41,6,17,20,17
5,2,12,11,12
16,3,16,15,16
32,7,16,23,17
60,12,22,27,22
42,9,34,32,37
68,8,14,21,14
80,5,40,43,42
95,9,20,28,20
314,17,44,60,45
8,3,6,9,6
82,7,25,30,25
8,5,36,32,38
69,8,28,33,28
2,1,24,15,25
92,9,26,32,26
4,3,38,32,39
93,14,18,27,19
3,3,11,11,11
4,2,30,27,30
8,3,9,10,9
2,1,19,18,19
18,5,10,15,10
27,5,15,18,15
2,1,38,34,40
1,1,22,16,22
49,7,18,20,20
20,3,28,24,28
18,4,20,19,21
0,0,14,12,14
26,4,20,21,20
26,5,33,35,35
40,10,26,26,27
93,17,30,30,30
54,7,25,27,27
34,4,35,35,36
26,4,31,27,31
33,9,10,20,11
27,10,9,16,9
3,2,11,10,11
5,2,26,20,26
2,2,28,23,28
83,11,49,52,56
28,7,22,28,30
169,9,33,42,40
60,10,16,24,16
173,14,42,53,44
96,11,19,24,19
53,9,20,27,21
61,10,21,32,22
176,28,46,57,48
11,4,20,18,20
0,0,15,13,15
40,4,30,32,30
10,3,15,15,15
84,18,36,39,40
16,6,18,18,19
36,6,12,17,12
39,7,29,33,29
143,18,19,35,21
72,9,15,22,16
299,34,30,44,34
620,24,48,64,49
89,18,38,43,40
0,0,15,15,15
36,6,28,31,28
235,19,57,62,60
50,22,39,38,39
39,18,39,32,39
5,3,21,18,22
44,4,25,28,27
56,9,33,35,33
9,3,15,16,15
79,9,18,25,18
26,4,33,36,37
1,1,8,8,8
73,13,11,21,11
77,11,33,36,33
80,8,19,26,19
1,1,10,6,10
47,11,33,33,37
89,18,36,40,37
81,12,18,22,18
1,1,17,14,21
185,16,59,67,64
16,6,20,18,22
200,16,33,44,33
30,7,11,17,11
70,14,47,51,49
97,10,30,36,31
131,9,51,59,58
35,26,60,58,65
101,11,28,36,29
169,12,35,45,37
9,7,30,26,32
191,15,41,56,43
9,4,43,45,45
350,22,90,106,104
136,8,46,47,47
230,17,32,40,32
594,21,64,88,71
154,10,76,80,82
150,15,45,54,50
18,3,14,17,14
39,12,27,30,27
8,3,30,28,30
79,11,27,32,29
74,6,24,27,24
29,9,19,23,19
34,5,12,16,12
29,12,24,27,25
7,2,9,10,9
17,3,26,21,27
5,2,13,14,13
12,3,16,18,17
89,15,40,50,46
19,4,10,12,10
17,4,19,21,19
31,5,20,21,21
10,5,20,19,23
44,8,9,17,9
17,6,12,16,12
10,2,12,14,12
22,5,35,35,37
30,8,35,32,35
20,5,11,14,11
36,4,22,23,22
43,4,19,23,19
22,5,12,17,12
39,5,22,22,22
117,13,37,42,39
28,15,42,40,43
2,1,15,12,15
17,8,8,12,8
21,6,8,12,8
55,7,37,39,45
32,4,24,24,24
98,9,37,43,40
75,9,33,33,36
43,7,18,23,18
5,5,10,10,11
15,3,18,21,19
47,4,35,33,35
98,7,32,39,33
6,3,21,18,23
28,6,44,46,45
23,6,27,26,28
94,19,32,36,32
27,5,24,25,25
44,6,21,22,21
42,8,17,21,17
12,4,7,8,7
10,3,9,11,9
1,1,45,33,52
0,0,32,23,32
31,3,21,22,21
156,12,23,34,25
47,8,17,18,19
61,6,23,30,25
75,5,41,43,41
2,1,10,10,10
3,2,18,15,18
20,7,8,10,8
143,11,45,54,50
22,3,38,36,38
2,1,14,9,14
9,2,19,16,19
20,10,38,35,40
2,1,10,10,10
1,1,18,15,18
35,10,10,19,10
25,7,71,65,78
3,3,20,16,20
24,7,9,15,9
166,21,49,56,51
16,7,48,54,57
0,0,15,12,15
519,28,79,87,82
4,2,24,25,26
4,3,9,9,9
10,3,54,57,59
36,5,40,36,40
21,4,26,25,26
54,4,36,38,38
137,14,31,37,33
131,8,36,40,39
10,3,95,90,107
16,6,54,52,65
66,6,38,42,42
0,0,53,49,56
85,16,39,42,39
7,3,12,11,14
69,11,36,41,41
171,11,33,40,35
34,12,31,34,31
15,3,24,24,25
21,4,10,12,10
93,12,22,34,24
2,1,17,13,17
156,15,32,35,35
2,1,18,15,18
39,8,21,20,21
7,3,19,13,19
11,5,26,25,27
98,7,19,24,19
26,3,47,45,52
0,0,23,18,23
5,2,32,28,34
14,3,11,13,11
2,2,15,15,15
41,7,29,30,34
6,2,26,24,26
0,0,16,13,16
29,9,9,15,9
18,9,41,38,44
12,4,47,44,52
5,2,10,11,10
0,0,20,17,20
6,2,16,16,17
14,4,5,9,5
3,2,11,9,11
0,0,16,12,16
11,2,26,20,26
60,8,21,25,22
112,17,36,38,42
16,5,16,17,16
72,12,20,26,21
3,1,24,22,25
5,2,28,26,28
10,3,11,14,11
45,14,18,20,18
36,15,69,67,72
41,7,10,17,10
34,4,20,24,21
1,1,13,11,13
26,4,25,27,26
107,12,32,41,34
8,2,8,10,8
27,6,10,13,10
157,7,66,74,72
9,4,40,35,42
33,7,18,21,18
22,7,6,12,6
14,3,14,15,14
76,4,37,39,37
32,7,12,17,12
29,13,56,59,61
71,10,13,20,14
201,20,46,54,47
164,15,25,37,25
33,4,19,23,21
201,12,54,67,60
113,20,28,39,31
8,5,27,23,27
25,7,16,19,16
9,7,32,33,34
59,6,41,37,41
13,8,53,51,56
122,33,59,60,65
117,9,46,50,48
41,12,72,64,77
206,18,69,70,71
17,2,39,35,41
71,10,24,27,24
47,26,51,50,53
165,38,77,89,86
0,0,13,12,13
256,21,54,73,64
53,15,26,26,27
14,7,55,57,60
7,2,14,16,14
47,14,14,22,16
54,6,35,35,36
10,8,26,26,26
481,24,45,64,47
48,11,10,21,10
68,14,28,30,29
21,5,38,30,41
148,13,20,31,20
56,11,42,43,45
27,4,49,45,54
0,0,15,11,15
15,7,23,21,23
27,5,26,25,26
15,3,15,17,15
0,0,20,16,20
35,30,41,38,48
33,8,29,32,31
11,3,8,10,8
12,3,14,18,15
40,11,42,27,45
4,2,10,9,11
46,4,40,37,41
59,8,15,21,15
35,10,14,16,16
4,2,24,17,24
20,4,21,22,22
11,4,10,11,10
94,10,30,38,32
29,4,26,27,27
3,2,7,7,7
38,8,21,24,23
31,12,29,29,30
3,3,9,7,9
10,2,11,11,11
40,8,24,28,25
8,1,18,17,18
41,4,27,29,28
8,4,6,10,6
8,5,28,24,29
40,6,35,39,37
4,2,7,7,7
4,2,36,31,38
15,5,23,23,25
48,8,29,28,29
45,5,42,43,44
61,6,47,48,50
21,7,26,23,26
27,6,36,31,38
0,0,19,12,19
65,7,26,30,26
33,14,35,33,37
35,5,15,18,15
66,20,59,60,60
28,7,12,18,12
41,5,23,25,25
0,0,10,9,10
93,11,21,32,21
86,16,40,44,44
90,7,22,27,22
10,5,36,33,37
14,7,37,35,38
0,0,23,21,24
0,0,21,13,21
41,6,56,55,57
20,4,48,54,55
85,13,36,50,43
199,13,47,60,51
124,9,31,36,31
52,12,12,19,12
49,6,24,27,24
43,21,73,75,78
741,22,112,128,115
37,4,25,26,25
12,2,17,19,17
36,9,10,17,10
66,7,18,24,18
0,0,20,14,21
47,9,27,28,27
0,0,4,4,4
0,0,9,5,9
17,3,13,14,13
0,0,24,20,24
2,2,13,9,13
15,6,11,14,11
30,14,62,60,71
60,8,30,34,31
39,23,58,48,58
2,1,31,26,32
75,6,38,39,39
65,9,23,30,23
47,9,35,39,38
17,5,14,14,14
11,2,20,19,20
65,10,34,36,42
66,6,26,29,28
100,6,41,45,43
27,6,19,20,19
8,3,35,29,41
6,3,24,12,27
871,28,66,100,77
156,16,28,32,29
31,7,32,27,32
28,7,18,21,18
22,6,30,36,36
45,9,40,39,42
0,0,16,8,16
2,1,18,18,18
78,6,37,42,38
15,4,36,32,42
18,4,21,22,21
117,12,22,30,23
127,14,31,40,35
36,5,22,26,22
50,8,15,21,15
